Channel code,Channel type,Channel name,Country,Currencies,Min amount,Max amount,Flight time
ID_ACEH,Bank,Bank Pembangunan Daerah Aceh,Indonesia,IDR,1,250000000,15 minutes
ID_ACEH_UUS,Bank,Bank Pembangunan Daerah Aceh Syariah (UUS),Indonesia,IDR,1,250000000,15 minutes
ID_AGRONIAGA,Bank,Bank Raya Indonesia (formerly called Bank BRI Agroniaga),Indonesia,IDR,1,250000000,15 minutes
ID_ALADIN,Bank,Bank Aladin Syariah (formerly Bank Maybank Syariah Indonesia),Indonesia,IDR,1,250000000,15 minutes
ID_ALLO,Bank,Allo Bank Indonesia (formerly Bank Harda Internasional),Indonesia,IDR,1,250000000,15 minutes
ID_AMAR,Bank,Bank Amar Indonesia (formerly called Anglomas International Bank),Indonesia,IDR,1,250000000,15 minutes
ID_ANZ,Bank,Bank ANZ Indonesia,Indonesia,IDR,1,250000000,15 minutes
ID_ARTHA,Bank,Bank Artha Graha International,Indonesia,IDR,1,250000000,15 minutes
ID_BALI,Bank,Bank Pembangunan Daerah Bali,Indonesia,IDR,1,250000000,15 minutes
ID_BAML,Bank,Bank of America Merill-Lynch,Indonesia,IDR,1,250000000,15 minutes
ID_BANTEN,Bank,Bank Pembangunan Daerah Banten (formerly called Bank Pundi Indonesia),Indonesia,IDR,1,250000000,15 minutes
ID_BCA,Bank,Bank Central Asia (BCA),Indonesia,IDR,1,999999999999,15 minutes
ID_BCA_DIGITAL,Bank,Bank Central Asia Digital (BluBCA),Indonesia,IDR,1,250000000,15 minutes
ID_BCA_SYR,Bank,Bank Central Asia (BCA) Syariah,Indonesia,IDR,1,250000000,15 minutes
ID_BENGKULU,Bank,Bank Pembangunan Daerah Bengkulu,Indonesia,IDR,1,250000000,15 minutes
ID_BISNIS_INTERNASIONAL,Bank,Bank Bisnis Internasional,Indonesia,IDR,1,250000000,15 minutes
ID_BJB,Bank,Bank BJB,Indonesia,IDR,1,250000000,15 minutes
ID_BJB_SYR,Bank,Bank BJB Syariah,Indonesia,IDR,1,250000000,15 minutes
ID_BNC,Bank,Bank Neo Commerce (formerly Bank Yudha Bhakti),Indonesia,IDR,1,250000000,15 minutes
