Channel Code,Display Name,Country,Currency,Min Amount,Max Amount,Settlement Time,Refund,Save,Reusable Payment Code,Merchant Initiated Transaction,Type
7ELEVEN,7-Eleven,PH,PHP,50,"50,000.00",T+5 BUSINESS DAYS,-,-,-,-,OVER THE COUNTER
7ELEVEN_CLIQQ,7-Eleven CLiQQ,PH,PHP,100,"50,000.00",T+5 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
AFFIN_FPX,Affin Bank FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
AFFIN_FPX_BUSINESS,Affin Bank FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
AGRO_FPX,Agrobank FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
AGRO_FPX_BUSINESS,Agrobank FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
AKULAKU,Akulaku,ID,IDR,"1,000.00","25,000,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,PAYLATER
ALFAMART,Alfamart,ID,IDR,"10,000.00","5,000,000.00",T+5 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
ALIPAY,Alipay,MY,MYR,1,20000,T+2 CALENDAR DAYS*,✓,-,-,-,EWALLET
ALLIANCE_FPX,Alliance Bank FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
ALLIANCE_FPX_BUSINESS,Alliance Bank FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
AMBANK_FPX,AmBank FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
AMBANK_FPX_BUSINESS,AmBank FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
AMBANK,AmBank Virtual Account,MY,MYR,1,"10,000,000.00",T+1 BUSINESS DAYS,-,-,✓,-,BANK TRANSFER
APPOTA,Appota,VN,VND,"1,000.00","500,000,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,EWALLET
ASTRAPAY,AstraPay,ID,IDR,100,"20,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,EWALLET
ATOME,Atome,ID,IDR,"50,000.00","6,000,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,PAYLATER
BANK_TRANSFER,Bank Transfer,PH,PHP,1,"200,000,000.00",T+3 BUSINESS DAYS,-,-,✓,-,BANK TRANSFER
BBL_DIRECT_DEBIT,Bangkok Bank Direct Debit,TH,THB,20,"700,000.00",INSTANT,-,✓,-,✓,ONLINE BANKING
BBL_MOBILE_BANKING,Bangkok Bank Mobile Banking,TH,THB,20,"700,000.00",INSTANT,-,-,-,-,ONLINE BANKING
BCA,BCA Virtual Account,ID,IDR,"10,000.00","50,000,000,000.00",T+1 BUSINESS DAYS,-,-,✓,-,BANK TRANSFER
BIDV,BIDV Virtual Account,VN,VND,"10,000.00","499,999,999.00",T+1 BUSINESS DAYS,-,-,✓,-,BANK TRANSFER
BILLEASE,BillEase,PH,PHP,50,"150,000.00",T+3 CALENDAR DAYS*,✓,-,-,-,PAYLATER
BJB,BJB Virtual Account,ID,IDR,1,"2,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
BNC,BNC Virtual Account,ID,IDR,"10,000.00","50,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
INA,INA Virtual Account,ID,IDR,"10,000.00","50,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
BNI,BNI Virtual Account,ID,IDR,1,"50,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
BNP_FPX_BUSINESS,BNP FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
BOC_FPX,Bank of China FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
BPI_DIRECT_DEBIT,Bank of the Philippine Islands,PH,PHP,0.01,"500,000.00",T+1 CALENDAR DAYS*,✓,✓,-,-,ONLINE BANKING
BPI_RECURRING,Bank of the Philippine Islands,PH,PHP,1,"100,000.00",T+1 CALENDAR DAYS*,-,✓,-,✓,ONLINE BANKING
BRI_DIRECT_DEBIT,BRI Direct Debit,ID,IDR,1,"999,999.00",INSTANT,✓,✓,-,✓,ONLINE BANKING
BRI,BRI Virtual Account,ID,IDR,1,"50,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
BSI,BSI Virtual Account,ID,IDR,1,"50,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
BSN_FPX,BSN FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
BSS,BSS Virtual Account,ID,IDR,1,"50,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
CARDS,Cards,PH,USD,0.01,"200,000.00",T+5 CALENDAR DAYS,✓,✓,-,✓,CARDS
CARDS,Cards,TH,THB,1,"700,000.00",T+3 BUSINESS DAYS,✓,✓,-,✓,CARDS
CARDS,Cards,MY,MYR,1,"5,000.00",T+2 BUSINESS DAYS,✓,✓,-,✓,CARDS
CARDS,Cards,ID,IDR,"5,000.00","200,000,000.00",T+5 CALENDAR DAYS,✓,✓,-,✓,CARDS
CARDS,Cards,PH,PHP,20,"700,000.00",T+5 CALENDAR DAYS,✓,✓,-,✓,CARDS
